# Generated from /Users/suhjungdae/code/columbia/simsopt-jax-shared-jax/.artifacts/runpod_integration_jax_gpu_chunked_tmp_20260605T043832Z/remote_artifacts/artifacts/integration_jax_chunked_gpu/batches/*.xml
# Columns: batch, classname, name, kind, first_failure_or_error_line
batch	classname	name	kind	first_failure_or_error_line
batch_001		tests.core.test_load_specs	error	collection failure
batch_001	tests.core.test_derivative.DerivativeTests	test_jax_blocks_materialize_to_numpy	failure	AssertionError: Array([0., 1., 2.], dtype=float64) is not an instance of <class 'numpy.ndarray'>
batch_001	tests.core.test_derivative.DerivativeTests	test_mixed_numpy_and_jax_blocks_are_hostified_in_arithmetic	failure	AssertionError: Array([1.5, 3.5, 5.5], dtype=float64) is not an instance of <class 'numpy.ndarray'>
batch_001	tests.docs.test_banana_parity_coverage_manifest	test_banana_coverage_inventory_references_existing_paths_and_lanes	failure	AssertionError: Biot-Savart field kernels references missing JAX implementation file: src/simsopt/jax_core/biotsavart.py
batch_001	tests.field.test_biotsavart_jax.TestBiotSavartJAXCoilStateToken	test_spec_backed_biotsavart_jax_advances_coil_dof_state_token_on_update	failure	ValueError: assignment destination is read-only
batch_002		tests.field.test_circular_coil_jax	error	collection failure
batch_002		tests.field.test_coilobjective	error	collection failure
batch_002	tests.field.test_force_item09_closeout	test_lp_curve_force_production_scale_taylor_parity_under_strict_transfer_guard	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_002	tests.field.test_force_item09_closeout	test_reduced_force_energy_wrappers_match_independent_cpu_lane	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_003		tests.field.test_magneticfieldclasses_jax_item15	error	collection failure
batch_003		tests.field.test_scalar_potential_rz_jax_item23	error	collection failure
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_and_tangent_finite_difference[giuliani]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_and_tangent_finite_difference[hsx]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_and_tangent_finite_difference[ncsx]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_matches_curve_gamma[giuliani]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_matches_curve_gamma[hsx]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestAxisPositionParity	test_axis_position_matches_curve_gamma[ncsx]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestJitAndRepeatability	test_compiled_kernel_with_jax_field_runs_under_strict_transfer_guard	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestJitAndRepeatability	test_kernel_is_jit_repeatable	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestJitAndRepeatability	test_kernel_rejects_non_positive_max_steps	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestOnAxisIotaParity	test_jax_kernel_matches_cpu_oracle[giuliani-0.42297724084249616]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestOnAxisIotaParity	test_jax_kernel_matches_cpu_oracle[hsx-1.0418687161633922]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_axis_helpers_jax_item21.TestOnAxisIotaParity	test_jax_kernel_matches_cpu_oracle[ncsx-0.39549339846119463]	failure	AttributeError: 'CurveRZFourier' object has no attribute 'to_spec'
batch_003	tests.field.test_magnetic_field_composition_jax.TestStrictJAXModeFailFast	test_multiply_cpu_raises_in_strict_jax_mode	failure	Failed: DID NOT RAISE <class 'RuntimeError'>
batch_003	tests.field.test_magnetic_field_composition_jax.TestStrictJAXModeFailFast	test_sum_all_cpu_raises_in_strict_jax_mode	failure	Failed: DID NOT RAISE <class 'RuntimeError'>
batch_003	tests.field.test_magnetic_field_composition_jax.TestStrictJAXModeFailFast	test_sum_mixed_cpu_jax_raises_in_strict_jax_mode	failure	Failed: DID NOT RAISE <class 'RuntimeError'>
batch_003	tests.field.test_sampling_jax_item22	test_draw_uniform_on_curve_accepts_local_random_state_without_global_state_mutation	failure	TypeError: draw_uniform_on_curve() got an unexpected keyword argument 'randomgen'
batch_003	tests.field.test_sampling_jax_item22	test_draw_uniform_on_surface_accepts_local_random_state_without_global_state_mutation	failure	TypeError: draw_uniform_on_surface() got an unexpected keyword argument 'randomgen'
batch_003	tests.field.test_sampling_jax_item22	test_trace_particles_starting_on_curve_uses_local_random_state	failure	AssertionError:
batch_003	tests.field.test_sampling_jax_item22	test_trace_particles_starting_on_surface_uses_local_random_state	failure	AssertionError:
batch_004		tests.field.test_tracing_jax_item16	error	collection failure
batch_004		tests.geo.test_accessibility	error	collection failure
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_Taylor	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_Taylor_broad_upstream_sweep	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_circular_coil	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_and_torque_objectives_with_different_quadpoints	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives_incrementally_refresh_only_dirty_source_coil	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives_lazily_materialize_target_second_derivatives	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives_reuse_packed_state_until_dofs_change	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives_share_coil_state_across_objectives	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
batch_004	tests.field.test_selffieldforces.CoilForcesTest	test_force_objectives_share_overlapping_reordered_coil_groups	failure	RuntimeError: Shared selffield state requires immutable curve specs or JAX curve methods; unsupported curve type CurveXYZFourier.
