timestamp,pid,used_gpu_memory_mib
1785625925.498476163,2415310,635
1785625925.498476163,2418383,508
1785625925.498476163,2415327,19
1785625925.498476163,2874859,52
1785625925.850104958,2415310,635
1785625925.850104958,2418383,508
1785625925.850104958,2415327,19
1785625925.850104958,2874859,52
1785625926.188931451,2415310,635
1785625926.188931451,2418383,508
1785625926.188931451,2415327,19
1785625926.188931451,2874859,52
1785625926.530552634,2415310,635
1785625926.530552634,2418383,508
1785625926.530552634,2415327,19
1785625926.530552634,2874859,52
1785625926.903156867,2415310,635
1785625926.903156867,2418383,508
1785625926.903156867,2415327,19
1785625926.903156867,2874859,52
1785625926.903156867,706901,526
1785625927.276954803,2415310,635
1785625927.276954803,2418383,508
1785625927.276954803,2415327,19
1785625927.276954803,2874859,52
1785625927.276954803,706901,526
1785625927.646959028,2415310,635
1785625927.646959028,2418383,508
1785625927.646959028,2415327,19
1785625927.646959028,2874859,52
1785625927.646959028,706901,526
1785625928.033694079,2415310,635
1785625928.033694079,2418383,508
1785625928.033694079,2415327,19
1785625928.033694079,2874859,52
1785625928.033694079,706901,526
1785625928.425302125,2415310,635
1785625928.425302125,2418383,508
1785625928.425302125,2415327,19
1785625928.425302125,2874859,52
1785625928.425302125,706901,534
1785625928.809694125,2415310,635
1785625928.809694125,2418383,508
1785625928.809694125,2415327,19
1785625928.809694125,2874859,52
1785625928.809694125,706901,534
1785625929.124873385,2415310,635
1785625929.124873385,2418383,508
1785625929.124873385,2415327,19
1785625929.124873385,2874859,52
1785625929.124873385,706901,534
1785625929.494101974,2415310,635
1785625929.494101974,2418383,508
1785625929.494101974,2415327,19
1785625929.494101974,2874859,52
1785625929.494101974,706901,534
1785625929.873579817,2415310,635
1785625929.873579817,2418383,508
1785625929.873579817,2415327,19
1785625929.873579817,2874859,52
1785625929.873579817,706901,534
1785625930.237310392,2415310,635
1785625930.237310392,2418383,508
1785625930.237310392,2415327,19
1785625930.237310392,2874859,52
1785625930.237310392,706901,534
1785625930.633297170,2415310,635
1785625930.633297170,2418383,508
1785625930.633297170,2415327,19
1785625930.633297170,2874859,52
1785625930.633297170,706901,534
1785625931.036750740,2415310,635
1785625931.036750740,2418383,508
1785625931.036750740,2415327,19
1785625931.036750740,2874859,52
1785625931.036750740,706901,534
1785625931.410991713,2415310,635
1785625931.410991713,2418383,508
1785625931.410991713,2415327,19
1785625931.410991713,2874859,52
1785625931.410991713,706901,534
1785625931.815063773,2415310,635
1785625931.815063773,2418383,508
1785625931.815063773,2415327,19
1785625931.815063773,2874859,52
1785625931.815063773,706901,534
1785625932.249660874,2415310,635
1785625932.249660874,2418383,508
1785625932.249660874,2415327,19
1785625932.249660874,2874859,52
1785625932.249660874,706901,542
1785625932.638365145,2415310,635
1785625932.638365145,2418383,508
1785625932.638365145,2415327,19
1785625932.638365145,2874859,52
1785625932.638365145,706901,542
1785625933.028181608,2415310,635
1785625933.028181608,2418383,508
1785625933.028181608,2415327,19
1785625933.028181608,2874859,52
1785625933.028181608,706901,542
1785625933.434093904,2415310,635
1785625933.434093904,2418383,508
1785625933.434093904,2415327,19
1785625933.434093904,2874859,52
1785625933.434093904,706901,542
1785625933.857054635,2415310,635
1785625933.857054635,2418383,508
1785625933.857054635,2415327,19
1785625933.857054635,2874859,52
1785625933.857054635,706901,542
1785625934.247703890,2415310,635
1785625934.247703890,2418383,508
