timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/03 01:45:11.884, 2542 MHz, 13801 MHz, 71.72 W, 32, 0 %, 2261 MiB
2026/08/03 01:45:16.888, 2542 MHz, 13801 MHz, 71.20 W, 32, 0 %, 2279 MiB
2026/08/03 01:45:21.888, 2550 MHz, 13801 MHz, 73.30 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:26.889, 2550 MHz, 13801 MHz, 71.04 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:31.889, 2542 MHz, 13801 MHz, 71.32 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:36.889, 2542 MHz, 13801 MHz, 70.62 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:41.890, 2542 MHz, 13801 MHz, 69.16 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:46.891, 2542 MHz, 13801 MHz, 71.88 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:51.894, 2542 MHz, 13801 MHz, 70.97 W, 32, 0 %, 2281 MiB
2026/08/03 01:45:56.895, 2542 MHz, 13801 MHz, 70.57 W, 32, 0 %, 2281 MiB
2026/08/03 01:46:01.895, 2542 MHz, 13801 MHz, 70.73 W, 32, 0 %, 2281 MiB
2026/08/03 01:46:06.896, 2542 MHz, 13801 MHz, 71.28 W, 32, 0 %, 2281 MiB
2026/08/03 01:46:11.897, 2542 MHz, 13801 MHz, 70.91 W, 32, 0 %, 2281 MiB
2026/08/03 01:46:16.897, 2550 MHz, 13801 MHz, 71.48 W, 32, 0 %, 2281 MiB
2026/08/03 01:46:21.898, 2542 MHz, 13801 MHz, 70.33 W, 32, 0 %, 2365 MiB
2026/08/03 01:46:26.899, 2550 MHz, 13801 MHz, 70.11 W, 32, 0 %, 2365 MiB
2026/08/03 01:46:31.899, 2542 MHz, 13801 MHz, 71.69 W, 32, 0 %, 2365 MiB
2026/08/03 01:46:36.899, 2542 MHz, 13801 MHz, 70.06 W, 32, 0 %, 2365 MiB
2026/08/03 01:46:41.900, 2542 MHz, 13801 MHz, 70.53 W, 32, 0 %, 2367 MiB
2026/08/03 01:46:46.900, 2542 MHz, 13801 MHz, 71.35 W, 32, 0 %, 2367 MiB
2026/08/03 01:46:51.900, 2542 MHz, 13801 MHz, 69.24 W, 32, 0 %, 2367 MiB
2026/08/03 01:46:56.901, 2542 MHz, 13801 MHz, 71.14 W, 32, 0 %, 2369 MiB
2026/08/03 01:47:01.903, 2542 MHz, 13801 MHz, 71.55 W, 32, 1 %, 2369 MiB
2026/08/03 01:47:06.904, 2542 MHz, 13801 MHz, 69.63 W, 32, 0 %, 2369 MiB
2026/08/03 01:47:11.904, 2542 MHz, 13801 MHz, 69.52 W, 32, 1 %, 2369 MiB
2026/08/03 01:47:16.905, 2902 MHz, 13801 MHz, 101.41 W, 33, 44 %, 2371 MiB
2026/08/03 01:47:21.905, 2902 MHz, 13801 MHz, 100.84 W, 33, 47 %, 2405 MiB
2026/08/03 01:47:26.905, 2902 MHz, 13801 MHz, 101.24 W, 33, 25 %, 2405 MiB
2026/08/03 01:47:31.906, 2902 MHz, 13801 MHz, 99.13 W, 33, 50 %, 2405 MiB
2026/08/03 01:47:36.906, 2902 MHz, 13801 MHz, 99.07 W, 33, 31 %, 2405 MiB
2026/08/03 01:47:41.907, 2902 MHz, 13801 MHz, 102.62 W, 34, 47 %, 2405 MiB
