outer eval=0 J=0.014334402043053163 iota=0.14085710958307018 inner_s=205.11458382196724 obj_s=101.51021294202656 |g|=4.411002782415821
native J: 0.014334402043053163
idx | native | jax | abs diff | rel diff
0 | -0.099992738 | -0.099992738 | 7.860e-11 | 7.860e-10
1 | +2.272085190 | +2.272085192 | 2.593e-09 | 1.141e-09
2 | +0.883779645 | +0.883779645 | 5.385e-10 | 6.093e-10
3 | -0.322105250 | -0.322105252 | 1.846e-09 | 5.732e-09
4 | +1.211921303 | +1.211921304 | 1.186e-09 | 9.785e-10
5 | +2.228139619 | +2.228139625 | 5.785e-09 | 2.596e-09
6 | +0.163627615 | +0.163627615 | 3.137e-10 | 1.917e-09
7 | -1.131259792 | -1.131259792 | 1.978e-10 | 1.749e-10
8 | +0.938464552 | +0.938464554 | 1.642e-09 | 1.750e-09
9 | +1.282748319 | +1.282748320 | 1.110e-09 | 8.654e-10
10 | -1.770230649 | -1.770230652 | 2.705e-09 | 1.528e-09
max rel diff: 5.731865693816336e-09


